Item_name,Modules,Manufacturer,Price ,Voltage ,Speed,Link
Vengeance LPX,2 x 8GB,Corsair,70$,1.35 V,3200,https://amz.run/3TLT
Vengeance RGB Pro,2 x 8GB,Corsair,90$,1.35 V,3200,https://amz.run/3TLU
Ripjaws V 16 GB,2 x 8GB,G.Skill,76$,1.35 V,3600,https://amz.run/3TLV
Vengeance RGB Pro 32 GB,2 x 16GB,Corsair,140$,1.35 V,3200,https://amz.run/3TLW
Vengeance LPX,1 x 8 GB,Corsair,32$,1.2V,2400,https://amz.run/3TLX
Aegis,1 x 8 GB,G.Skill,28$,1.35 V,3000,https://amz.run/3TLY
Ballistix Sport LT,1 x 4 GB,Crucial ,25$,1.2V,2400,https://amz.run/3TLa
HyperX Fury,1 x 4 GB,Kingston,22$,1.2V,2666,https://amz.run/3TLb
Ripjaws V,2 x 32 GB,G.Skill,220$,1.35V,3200,https://pcpartpicker.com/mr/newegg/kGjNnQ
Trident Z RGB,4 x 8 GB,G.Skill,173$,1.35V,3200,https://amz.run/3TLd
G.Skill Trident Z Royal,4 x 16 GB,G.Skill,500$,1.35V,3200,https://amz.run/3TLf
XPG Z1 ,2 x 8GB,ADATA,56$,1.35V,3000,https://amz.run/3TM7
T-Force Delta,2 x 8 GB,Team ,70$,1.35V,3000,https://amz.run/3TM9
Signature Line,1 x 4 GB,Patriot ,16$,1.2V,2400,https://amz.run/3TME
HyperX Fury,1 x 4 GB,Kingston,23$,1.2V,2666,https://amz.run/3TMF
Ripjaws V Series,2 x 16 GB,G.Skill ,111$,1.35V,3200,https://amz.run/3TMH
Vengeance LPX,2 x 16 GB,Corsair ,120$,1.35V,3200,https://amz.run/3TMJ
T-FORCE VULCAN,2 x 16 GB,Team ,100$,1.35V,3200,https://amz.run/3TML
HyperX Fury,2 x 16 GB,Kingston,166$,1.35V,3200,https://amz.run/3TMO
TridentZ RGB,8 x 16 GB,G.Skill,1099$,1.35V,3200,https://amz.run/3TMU
