Manufacturer,model,Efficiency_ratting ,"Wattage
",Modular,PCIe_6_2_pin_connectors,SATA_connectors,Price,Link
SeaSonic,SS-300ES Bronze,80+ Bronze,300 W,No,1,4,65$,https://amz.run/3TMj
Corsair,CX 430 ,80+ Bronze,430 W,Semi,1,4,172$,https://amz.run/3TMk
EVGA,430,80+,430 W,No,1,4,110$,https://amz.run/3TMm
Corsair,CX450M (2015),80+ Bronze,450 W,Semi,2,4,70$,https://amz.run/3TMo
Corsair,CX450 (2017),80+ Bronze,450 W,No,1,4,65$,https://amz.run/3TMp
BitFenix,Formula ,80+ Gold,450 W,No,2,6,70$,https://amz.run/3TMq
XFX ,ProSeries ,80+ Bronze,450 W,No,2,6,150$,https://amz.run/3TMs
be quiet!,Pure Power 11,80+ Gold,500 W,No,2,6,70$,https://amz.run/3TMt
be quiet!,System Power 9,80+ Bronze,500 W,No,2,6,85$,https://amz.run/3TMv
SeaSonic ,M12ll Evo,80+ Bronze,520 W,Full,1,6,175$,https://amz.run/3TMw
Rosewill,HIVE,80+ Bronze,550 W,Semi,4,8,105$,https://bit.ly/3fBxQ9q
Silverstone,Strider Platinum,80+ Platinum,550 W,Full,2,8,146$,https://amz.run/3TMy
Antec ,Earthwatts Gold Pro,80+ Gold,550 W,Semi,2,6,88$,https://amz.run/3TMz
Fractal,Design Ion+,80+ Platinum,560 W,Full,4,6,100$,https://bit.ly/2XLvoH8
SeaSonic,650,80+ Gold,650 W,Semi,4,8,218$,https://amz.run/3TN0
be quiet!,Dark Power Pro 11,80+ Platinum,650 W,Semi,4,8,158$,https://bhpho.to/30HIMOI
Cooler Master ,MWE Gold,80+ Gold,650 W,No,2,4,125$,https://amz.run/3TN1
EVGA,GD (2019),80+ Gold ,700 W,No,4,6,125$,https://amz.run/3TN3
XFX ,750,80+ Bronze,750 W,No,2,8,165$,https://amz.run/3TN6
Asus,ROG Strix,80+ Gold ,750 W,Full,4,8,155$,https://amz.run/3TN7
Thermaltake,Toughpower Grand RGB,80+ Gold,750 W,Full,4,9,130$,https://amz.run/3TN8
be quiet!,DARK POWER PRO 11,80+ Platinum,850 W,Semi,6,8,200$,https://amz.run/3TN9
OCZ,ZX,80+ Gold,1000 W,Full,6,12,417$,https://amz.run/3TNA
SeaSonic,PRIME Ultra ,80+ Gold,1000 W,Full,8,12,357$,https://amz.run/3TNB
Rosewill,PHOTON-1050,80+ Gold,1050 W ,Full,8,15,200$,https://bit.ly/2DyBDHq
SeaSonic,X Series,80+ Gold,1250 W,Full,8,12,561$,https://amz.run/3TNE
Silverstone,Strider,80+ Silver,1500 W ,No,4,12,300$,https://amz.run/3TND
Corsair,AX1600i,80+ Titanium,1600 W,Full,8,5,560$,https://bit.ly/2PBs3pA
